title_id,title,genre,length,subscribers,rating,views,likes,status,daily_pass
2884,MONOCHROME,ACTION,18,141545,9.35,1352021,144649,ONGOING,FALSE
2883,Atelier on the Sunflower Hill,FANTASY,23,160002,9.27,1449249,190939,ONGOING,FALSE
2881,Cydonia Shattering,FANTASY,10,82575,8.76,509031,63213,ONGOING,FALSE
2876,A Man's Man,DRAMA,44,97582,9.82,2134918,349117,ONGOING,FALSE
2875,Her Mannequin,ROMANCE,24,245325,9.29,3755079,508094,HIATUS,FALSE
2874,The Dummy's Dummy,HORROR,14,135518,9.8,1457823,236652,ONGOING,FALSE
2872,Ghost on the Roof,DRAMA,6,81546,9.52,568075,59673,ONGOING,FALSE
2858,Behind the Curtain,ROMANCE,5,109363,8.45,1404370,172900,COMPLETED,TRUE
2857,Villain to Kill,ACTION,44,880664,9.78,29886705,2690052,ONGOING,FALSE
2856,Love Falls Like Rain,ROMANCE,38,148509,9.55,2579187,411721,HIATUS,FALSE
2855,How to Survive a Romance Fantasy,FANTASY,40,378023,9.39,6835035,1024529,ONGOING,FALSE
2854,Grasp,THRILLER,7,96223,9.53,2017116,257365,COMPLETED,TRUE
2851,Neolithic Girl,FANTASY,43,262308,9.35,4593452,618892,ONGOING,FALSE
2850,Hanlim Gym,SPORTS,44,175542,9.44,5189354,474413,ONGOING,FALSE
2849,Return of the Blossoming Blade,ACTION,44,340471,9.86,9837914,1171624,ONGOING,FALSE
2833,Take Me; I'm Yours,DRAMA,44,225683,9.54,3885182,440352,ONGOING,FALSE
2832,Eaternal Nocturnal,ROMANCE,22,893932,9.82,22635468,2192191,ONGOING,FALSE
2819,The Eagle and the Snake,ACTION,31,123477,9.62,1696113,200146,ONGOING,FALSE
2813,Illuminated,TIPTOON,4,111060,9.34,880713,134021,COMPLETED,FALSE
2810,All of Us Are Dead,THRILLER,9,404447,9.27,13497040,1018001,COMPLETED,TRUE
2807,Straylight Tiger,SF,15,150178,9.51,1447692,174399,ONGOING,FALSE
2772,Tales of Greed,THRILLER,7,186714,9.43,5446398,697156,COMPLETED,TRUE
2767,She's Hopeless,DRAMA,49,833251,9.6,29044788,3222933,ONGOING,FALSE
2765,Half-Ghost,ROMANCE,49,284215,9.76,8800663,1409358,ONGOING,FALSE
2764,Fast Forward,THRILLER,49,197018,9.68,4528410,734621,ONGOING,FALSE
2759,Homesick,THRILLER,39,852671,9.79,37958581,3038577,ONGOING,FALSE
2756,Finding Fiends,COMEDY,26,97794,9.75,2045524,315467,ONGOING,FALSE
2750,Of Dark Lords and Cabbages,ROMANCE,23,355676,9.3,9302998,936022,ONGOING,FALSE
2748,Royale,MYSTERY,6,35424,9.25,383548,29294,ONGOING,FALSE
2746,Religiously Gay,ROMANCE,11,79581,5.61,699558,74000,ONGOING,FALSE
2745,Hero Killer,ACTION,49,591927,9.75,18546568,2273047,ONGOING,FALSE
2744,Woven,FANTASY,6,103782,9.73,604767,82668,ONGOING,FALSE
2741,Match Made in Hell,ROMANCE,32,200905,9.48,4547815,564282,ONGOING,FALSE
2740,Nevermore,SUPERNATURAL,7,255732,9.71,1415089,203596,ONGOING,FALSE
2739,So I Married the Anti-Fan,ROMANCE,50,597724,9.45,17467179,1813823,ONGOING,FALSE
2738,See No Evil,THRILLER,45,155665,9.49,3052385,428666,COMPLETED,FALSE
2737,Happily Ever Afterwards,FANTASY,49,486176,9.76,18994579,2575234,ONGOING,FALSE
2736,Of Swamp & Sea,SUPERNATURAL,36,171478,9.76,3622703,580504,ONGOING,FALSE
2732,Nomads,FANTASY,31,114162,9.77,2068940,326254,ONGOING,FALSE
2731,Defects,FANTASY,9,187718,9.57,1205636,153906,ONGOING,FALSE
2730,Cloud Walker,ACTION,16,226898,9.47,2444795,279374,ONGOING,FALSE
2729,Ordeal,ACTION,36,211846,9.76,5388895,437031,ONGOING,FALSE
2728,Be My Villain,ROMANCE,12,313342,9.58,3698613,458840,ONGOING,FALSE
2727,Lady Knight,FANTASY,34,235591,9.74,5204833,895058,ONGOING,FALSE
2726,Here There Be Dragons,FANTASY,10,105882,9.5,722109,109822,ONGOING,FALSE
2725,Maid for Hire,ROMANCE,29,395254,9.36,9557483,996560,ONGOING,FALSE
2724,Vibe Check!,COMEDY,27,58390,9.5,1070746,164747,ONGOING,FALSE
2723,High Class Homos,COMEDY,54,757004,9.32,46806493,4115901,HIATUS,FALSE
2721,When Jasy Whistles,FANTASY,38,450332,9.76,12852956,1452163,ONGOING,FALSE
2720,Of What Remains,THRILLER,23,83325,9.6,859182,105994,ONGOING,FALSE
2719,Miez,SF,10,91446,9.33,499933,57608,ONGOING,FALSE
2718,21st Century Knights,FANTASY,6,143067,9.4,1208886,119057,ONGOING,FALSE
2717,Gecko Chan,COMEDY,89,78845,9.2,2661579,417692,ONGOING,FALSE
2716,Madame Outlaw,HISTORICAL,46,279369,9.52,6990233,1111868,ONGOING,FALSE
2712,The Build Up,SPORTS,50,187784,9.77,6571189,819974,ONGOING,FALSE
2706,Smity and Majesty,COMEDY,46,121832,9.46,3151519,500230,ONGOING,FALSE
2705,School Bus Graveyard,THRILLER,32,729598,9.79,23744039,2109997,ONGOING,FALSE
2704,Finding Wonderland,FANTASY,45,277301,9.56,4647860,829799,ONGOING,FALSE
2702,Hand Jumper,THRILLER,12,209033,9.71,1950075,246697,ONGOING,FALSE
2701,Warrior of the Wild,ACTION,39,109402,9.46,2042354,334554,ONGOING,FALSE
2700,LMLY,ROMANCE,20,452498,9.52,7514388,822424,HIATUS,FALSE
2699,Forever After,FANTASY,42,394224,9.39,13181314,1665348,ONGOING,FALSE
2684,Get Schooled,DRAMA,49,651451,9.79,21985095,2542523,ONGOING,FALSE
2683,Let Me Stay Over Tonight!,ROMANCE,49,292644,9.12,9110746,1344111,ONGOING,FALSE
2677,Teenage Mercenary,ACTION,43,933150,9.86,35956532,3290740,ONGOING,FALSE
2676,Infinite Leveling: Murim,ACTION,48,222638,9.55,8132721,897995,ONGOING,FALSE
2675,It Was All You,SF,47,247919,9.51,6347176,862222,HIATUS,FALSE
2674,His Majesty's Proposal,FANTASY,50,672190,9.22,24793583,2473893,ONGOING,FALSE
2647,Nevertheless,ROMANCE,4,505130,9.33,13618333,1056804,COMPLETED,TRUE
2620,When the Day Comes,HEARTWARMING,53,221127,9.73,6646138,1243018,ONGOING,FALSE
2619,The Snake and the Flower,HISTORICAL,54,220840,9.7,4895553,753237,ONGOING,FALSE
2618,Shadow Bride,ROMANCE,54,386463,9.68,12396566,1341648,ONGOING,FALSE
2617,Gul,ACTION,40,201012,9.55,5796163,753671,ONGOING,FALSE
2616,Boyfriends.,SLICE_OF_LIFE,100,1942646,9.37,243292669,15748410,HIATUS,FALSE
2615,The World is Money and Power,ACTION,53,190893,9.64,5052084,659511,ONGOING,FALSE
